,simbolo,apariciones
0,"('UNICAST', 2048)",6283.0
1,"('UNICAST', 34525)",730.0
2,"('BROADCAST', 34969)",1459.0
3,"('BROADCAST', 2054)",1118.0
4,"('UNICAST', 2054)",120.0
5,"('UNICAST', 34958)",83.0
6,"('BROADCAST', 2048)",177.0
7,"('BROADCAST', 34999)",24.0
